month_year,classification,year
Jul-23,Major Flooding,2023
Jun-23,Moderate Flooding,2023
Sep-23,Major Flooding,2023
Oct-23,Major Flooding,2023
Apr-23,Major Flooding,2023
Jul-22,Major Flooding,2022
May-22,Major Flooding,2022
Sep-22,Major Flooding,2022
Aug-22,Major Flooding,2022
Jul-21,Major Flooding,2021
Sep-21,Major Flooding,2021
Dec-21,Major Flooding,2021
Feb-21,Major Flooding,2021
Oct-20,Major Flooding,2020
Nov-20,Major Flooding,2020
Sep-19,Moderate Flooding,2019
Aug-19,Major Flooding,2019
Oct-18,Major Flooding,2018
Aug-18,Major Flooding,2018
Sep-18,Major Flooding,2018
Sep-17,Major Flooding,2017
Sep-16,Major Flooding,2016
